online_order,book_table,rate,votes,location,rest_type,approx_cost(for two people),listed_in(type)
Yes,No,3.6/5,244,Kumaraswamy Layout,Quick Bites,300,Delivery
Yes,No,4.0/5,804,Kumaraswamy Layout,Casual Dining,450,Delivery
Yes,No,3.7/5,679,Rajarajeshwari Nagar,Casual Dining,850,Delivery
Yes,No,3.1/5,245,Kumaraswamy Layout,Quick Bites,300,Delivery
No,No,3.7/5,21,Banashankari,Quick Bites,450,Delivery
Yes,No,4.1/5,28,Vijay Nagar,Quick Bites,150,Delivery
No,No,4.3/5,345,Banashankari,Dessert Parlor,400,Delivery
Yes,No,4.0/5,618,Jayanagar,Casual Dining,750,Delivery
No,No,4.0/5,1047,Banashankari,Quick Bites,450,Delivery
Yes,No,3.9/5,627,Banashankari,Delivery,450,Delivery
Yes,No,3.8/5,104,Banashankari,Quick Bites,300,Delivery
Yes,Yes,4.2/5,354,Banashankari,Casual Dining,800,Delivery
No,No,3.6/5,55,Banashankari,Quick Bites,200,Delivery
Yes,No,3.7/5,17,Banashankari,Dessert Parlor,400,Delivery
No,No,4.2/5,244,Banashankari,Casual Dining,800,Delivery
Yes,Yes,3.6/5,163,Kumaraswamy Layout,Casual Dining,800,Delivery
Yes,No,3.8/5,58,Basavanagudi,Quick Bites,150,Delivery
No,Yes,4.0/5,808,Banashankari,Casual Dining,850,Delivery
No,No,3.7/5,78,Banashankari,"Bakery, Dessert Parlor",150,Delivery
Yes,No,4.1/5,1720,Basavanagudi,Quick Bites,400,Delivery
Yes,No,3.6/5,34,Jayanagar,Quick Bites,100,Delivery
No,No,4.1/5,868,Banashankari,Pub,1200,Delivery
No,No,3.8/5,39,Banashankari,Bakery,300,Delivery
Yes,No,3.2/5,71,Basavanagudi,Quick Bites,600,Delivery
Yes,No,3.6/5,6,Banashankari,"Takeaway, Delivery",500,Delivery
No,No,4.1/5,520,Banashankari,Quick Bites,300,Delivery
No,No,NEW,0,Banashankari,Quick Bites,150,Delivery
No,No,2.9/5,84,Banashankari,Delivery,700,Delivery
No,No,3.6/5,299,Banashankari,Quick Bites,300,Delivery
No,No,NEW,0,Banashankari,"Takeaway, Delivery",500,Delivery
Yes,No,4.1/5,558,Basavanagudi,Quick Bites,150,Delivery
Yes,No,3.6/5,28,Banashankari,Quick Bites,300,Delivery
No,No,3.7/5,22,Banashankari,Quick Bites,500,Delivery
No,No,3.8/5,39,Banashankari,Quick Bites,350,Delivery
Yes,No,3.8/5,153,Vijay Nagar,Fine Dining,500,Delivery
Yes,No,4.2/5,146,Banashankari,Beverage Shop,400,Delivery
No,No,3.5/5,14,Banashankari,Sweet Shop,200,Delivery
No,No,3.8/5,42,Banashankari,Casual Dining,700,Delivery
No,No,,0,Banashankari,Quick Bites,100,Delivery
No,No,4.0/5,66,Banashankari,Bakery,300,Delivery
Yes,No,4.4/5,4401,Jayanagar,Casual Dining,600,Delivery
No,No,3.5/5,31,Banashankari,Quick Bites,200,Delivery
No,No,3.5/5,7,Banashankari,Dessert Parlor,500,Delivery
No,No,3.7/5,21,Banashankari,Quick Bites,250,Delivery
No,No,,0,Banashankari,Delivery,500,Delivery
No,No,,0,Banashankari,"Takeaway, Delivery",400,Delivery
No,No,,0,Banashankari,Mess,200,Delivery
No,No,3.2/5,9,Banashankari,Dessert Parlor,300,Delivery
No,No,2.6/5,283,Banashankari,Casual Dining,600,Delivery
No,No,3.3/5,62,Banashankari,Bar,800,Delivery
No,No,3.8/5,64,Banashankari,Quick Bites,250,Delivery
No,No,3.7/5,39,Banashankari,Casual Dining,950,Delivery
No,No,3.7/5,65,Banashankari,Quick Bites,300,Delivery
Yes,No,3.8/5,71,Basavanagudi,Dessert Parlor,400,Delivery
No,No,3.5/5,52,Banashankari,Quick Bites,300,Delivery
No,No,3.7/5,130,Banashankari,Quick Bites,200,Delivery
No,No,3.5/5,10,Banashankari,Quick Bites,300,Delivery
No,No,3.8 /5,45,Banashankari,"Takeaway, Delivery",400,Delivery
No,No,3.2/5,11,Banashankari,Cafe,600,Delivery
No,No,3.5/5,13,Banashankari,Bakery,300,Delivery
No,No,3.4/5,8,Banashankari,Quick Bites,300,Delivery
No,No,,0,Banashankari,"Takeaway, Delivery",250,Delivery
No,No,3.2/5,9,Banashankari,Quick Bites,300,Delivery
No,No,3.2/5,4,Banashankari,Quick Bites,300,Delivery
No,No,NEW,0,Banashankari,"Takeaway, Delivery",200,Delivery
No,No,3.1/5,29,Banashankari,Quick Bites,150,Delivery
No,No,3.4/5,8,Banashankari,Bakery,400,Delivery
No,No,,0,Banashankari,Dessert Parlor,150,Delivery
No,No,,0,Banashankari,Bakery,300,Delivery
No,No,,0,Banashankari,Quick Bites,200,Delivery
No,No,,0,Banashankari,"Takeaway, Delivery",150,Delivery
No,No,,0,Banashankari,Dessert Parlor,150,Delivery
No,No,,0,Banashankari,Quick Bites,250,Delivery
No,No,3.1/5,30,Banashankari,Bar,1000,Delivery
Yes,No,4.1/5,201,Banashankari,Quick Bites,300,Delivery
No,No,3.3/5,7,Banashankari,Quick Bites,200,Delivery
No,No,3.1/5,6,Banashankari,Quick Bites,100,Delivery
No,No,3.3/5,17,Banashankari,Quick Bites,200,Delivery
No,No,2.9/5,25,Banashankari,Dessert Parlor,200,Delivery
No,No,,0,Banashankari,Delivery,400,Delivery
No,No,,0,Banashankari,Quick Bites,350,Delivery
No,No,3.3/5,8,Banashankari,Delivery,100,Delivery
No,No,,0,Banashankari,Quick Bites,150,Delivery
No,No,,0,Banashankari,Quick Bites,150,Delivery
No,No,NEW,0,Banashankari,"Takeaway, Delivery",200,Delivery
No,No,NEW,0,Banashankari,Quick Bites,100,Delivery
No,No,NEW,0,Banashankari,Quick Bites,400,Delivery
No,No,,0,Banashankari,Beverage Shop,200,Delivery
No,No,,0,Banashankari,"Beverage Shop, Quick Bites",150,Delivery
No,No,,0,Banashankari,"Takeaway, Delivery",400,Delivery
No,No,,0,Banashankari,Quick Bites,150,Delivery
No,No,,0,Banashankari,Quick Bites,250,Delivery
No,No,,0,Banashankari,Quick Bites,250,Delivery
No,No,,0,Banashankari,Quick Bites,150,Delivery
No,No,,0,Banashankari,Confectionery,200,Delivery
No,No,,0,Banashankari,"Quick Bites, Beverage Shop",350,Delivery
No,No,,0,Banashankari,Quick Bites,300,Delivery
No,No,NEW,0,Banashankari,"Takeaway, Delivery",100,Delivery
No,No,NEW,0,Banashankari,Quick Bites,150,Delivery
Yes,No,4.0/5,771,Banashankari,Casual Dining,450,Delivery
No,No,3.0/5,98,Banashankari,Bar,800,Delivery
Yes,No,3.9/5,47,Basavanagudi,Quick Bites,200,Delivery
Yes,Yes,4.1/5,175,Jayanagar,Casual Dining,500,Delivery
Yes,No,3.8/5,58,Banashankari,Quick Bites,300,Delivery
Yes,No,3.8/5,540,Basavanagudi,Casual Dining,650,Delivery
Yes,No,3.8/5,124,Kumaraswamy Layout,Quick Bites,400,Delivery
Yes,No,4.1/5,340,Banashankari,"Takeaway, Delivery",500,Delivery
Yes,No,3.8/5,505,Banashankari,Quick Bites,450,Delivery
No,No,NEW,0,Banashankari,Quick Bites,100,Delivery
Yes,No,4.1/5,438,Jayanagar,Dessert Parlor,500,Delivery
Yes,No,3.7/5,264,Mysore Road,Casual Dining,750,Delivery
Yes,No,3.9/5,169,Kumaraswamy Layout,Beverage Shop,150,Delivery
Yes,No,3.0/5,67,Kumaraswamy Layout,Quick Bites,250,Delivery
Yes,No,3.7/5,97,Jayanagar,Quick Bites,350,Delivery
Yes,No,3.3/5,12,Basavanagudi,"Takeaway, Delivery",300,Delivery
Yes,No,3.3/5,12,Banashankari,Quick Bites,300,Delivery
Yes,No,3.6/5,195,Jayanagar,Casual Dining,800,Delivery
Yes,No,3.3/5,13,Basavanagudi,"Dessert Parlor, Sweet Shop",300,Delivery
Yes,No,4.6/5,228,Jayanagar,Cafe,400,Delivery
Yes,No,4.1/5,70,Basavanagudi,Quick Bites,150,Delivery
Yes,Yes,4.1/5,364,Jayanagar,Casual Dining,1200,Delivery
Yes,No,3.7/5,107,Basavanagudi,Beverage Shop,150,Delivery
Yes,No,3.2/5,167,Kumaraswamy Layout,Quick Bites,300,Delivery
Yes,No,4.0/5,115,Banashankari,Sweet Shop,400,Delivery
Yes,No,3.7/5,27,Banashankari,"Takeaway, Delivery",400,Delivery
Yes,No,3.5/5,57,Banashankari,Quick Bites,200,Delivery
Yes,No,3.8/5,120,Banashankari,Quick Bites,250,Delivery
Yes,No,3.8/5,15,Basavanagudi,Bakery,400,Delivery
Yes,No,4.2/5,64,Basavanagudi,Quick Bites,500,Delivery
Yes,No,3.6/5,66,Banashankari,Quick Bites,150,Delivery
Yes,No,3.0/5,290,Banashankari,Quick Bites,450,Delivery
Yes,No,4.1/5,233,Basavanagudi,Quick Bites,200,Delivery
Yes,No,3.8/5,115,Kumaraswamy Layout,Quick Bites,250,Delivery
Yes,No,3.1/5,119,Banashankari,Casual Dining,700,Delivery
Yes,Yes,3.9/5,291,Jayanagar,Cafe,650,Delivery
Yes,No,4.5/5,155,Jayanagar,Beverage Shop,300,Delivery
Yes,No,4.1/5,305,Kumaraswamy Layout,Casual Dining,700,Delivery
Yes,No,3.6/5,46,Banashankari,Quick Bites,500,Delivery
Yes,No,3.5/5,45,Kumaraswamy Layout,Quick Bites,350,Delivery
Yes,No,3.9/5,38,Banashankari,Dessert Parlor,150,Delivery
Yes,No,3.9/5,441,Banashankari,Quick Bites,400,Delivery
Yes,No,3.9/5,25,Basavanagudi,Quick Bites,100,Delivery
Yes,No,4.3/5,630,Jayanagar,Quick Bites,200,Delivery
Yes,No,3.8/5,25,Kumaraswamy Layout,Quick Bites,150,Delivery
Yes,No,3.9/5,160,Kumaraswamy Layout,Quick Bites,300,Delivery
Yes,No,4.2/5,287,Banashankari,Quick Bites,350,Delivery
Yes,No,3.6/5,11,Basavanagudi,Quick Bites,100,Delivery
Yes,No,4.1/5,402,Banashankari,Cafe,500,Delivery
Yes,No,3.8/5,469,Basavanagudi,Casual Dining,750,Delivery
Yes,No,3.3/5,511,Kumaraswamy Layout,Casual Dining,550,Delivery
Yes,No,3.9/5,57,Banashankari,Quick Bites,200,Delivery
Yes,No,3.4/5,14,Banashankari,Quick Bites,300,Delivery
Yes,No,3.9/5,264,Banashankari,Quick Bites,200,Delivery
Yes,No,3.0/5,62,Banashankari,Cafe,400,Delivery
Yes,No,3.8/5,693,Banashankari,Casual Dining,750,Delivery
Yes,No,3.8/5,242,Jayanagar,Casual Dining,650,Delivery
Yes,No,3.6/5,27,Basavanagudi,Dessert Parlor,250,Delivery
Yes,No,4.1/5,163,Basavanagudi,Quick Bites,500,Delivery
Yes,No,4.2/5,191,Basavanagudi,Quick Bites,250,Delivery
Yes,No,3.5/5,32,Banashankari,Quick Bites,150,Delivery
Yes,No,2.5/5,247,Banashankari,Casual Dining,500,Delivery
Yes,Yes,4.1/5,2339,Jayanagar,Casual Dining,1500,Delivery
Yes,No,4.1/5,337,Jayanagar,Quick Bites,300,Delivery
Yes,No,3.9/5,135,Banashankari,Casual Dining,800,Delivery
Yes,No,3.6/5,172,Uttarahalli,Casual Dining,700,Delivery
Yes,No,3.6/5,105,Banashankari,Casual Dining,700,Delivery
Yes,No,4.2/5,504,Banashankari,Cafe,550,Delivery
Yes,No,3.2/5,36,Kumaraswamy Layout,Quick Bites,200,Delivery
Yes,No,3.1/5,39,Kumaraswamy Layout,Quick Bites,300,Delivery
Yes,No,3.1/5,5,Kumaraswamy Layout,Casual Dining,500,Delivery
Yes,No,,0,Basavanagudi,Quick Bites,300,Delivery
Yes,Yes,4.3/5,1129,Jayanagar,Casual Dining,1300,Delivery
Yes,No,3.9/5,56,Kumaraswamy Layout,Quick Bites,350,Delivery
Yes,No,4.3/5,860,Banashankari,Dessert Parlor,500,Delivery
Yes,No,3.8/5,412,Jayanagar,Casual Dining,700,Delivery
Yes,Yes,3.9/5,142,Jayanagar,Casual Dining,1000,Delivery
Yes,No,3.0/5,23,Jayanagar,Quick Bites,400,Delivery
Yes,No,3.6/5,143,Jayanagar,Casual Dining,750,Delivery
Yes,Yes,2.8/5,80,Jayanagar,Casual Dining,500,Delivery
Yes,No,3.6/5,16,JP Nagar,Casual Dining,400,Delivery
Yes,No,4.4/5,181,Jayanagar,Beverage Shop,250,Delivery
Yes,No,3.8/5,70,Jayanagar,Quick Bites,200,Delivery
Yes,No,3.8/5,164,Basavanagudi,Quick Bites,600,Delivery
Yes,No,3.6/5,58,Kumaraswamy Layout,Quick Bites,650,Delivery
No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe",550,Delivery
No,No,3.9/5,206,Basavanagudi,Quick Bites,450,Delivery
No,No,,0,Basavanagudi,Bakery,300,Delivery
No,No,,0,JP Nagar,Dessert Parlor,200,Delivery
No,No,3.6/5,16,Mysore Road,Quick Bites,300,Delivery
No,No,3.7/5,217,Basavanagudi,Casual Dining,450,Delivery
No,No,3.6/5,46,Basavanagudi,Quick Bites,450,Delivery
No,No,3.8/5,148,Basavanagudi,Quick Bites,150,Delivery
No,No,3.4/5,30,Basavanagudi,Dessert Parlor,250,Delivery
No,No,3.6/5,8,Mysore Road,Casual Dining,800,Delivery
No,No,3.3/5,4,Jayanagar,Quick Bites,250,Delivery
No,No,3.5/5,15,Basavanagudi,"Bakery, Quick Bites",400,Delivery
No,No,,0,Basavanagudi,Quick Bites,100,Delivery
No,No,,0,Uttarahalli,Quick Bites,300,Delivery
No,No,,0,Jayanagar,Quick Bites,200,Delivery
Yes,No,3.4/5,9,Uttarahalli,Quick Bites,200,Delivery
No,No,,0,Vijay Nagar,Quick Bites,350,Delivery
Yes,No,3.7/5,31,Mysore Road,Quick Bites,300,Delivery
Yes,No,2.9/5,177,Jayanagar,Casual Dining,700,Delivery
Yes,No,3.7/5,22,Basavanagudi,Sweet Shop,250,Delivery
Yes,No,3.5/5,10,Kumaraswamy Layout,Beverage Shop,100,Delivery
Yes,No,3.7/5,136,Banashankari,Quick Bites,600,Delivery
Yes,No,2.9/5,35,Kumaraswamy Layout,Quick Bites,250,Delivery
Yes,No,4.1/5,185,Jayanagar,Quick Bites,200,Delivery
Yes,No,3.2/5,17,Jayanagar,Cafe,900,Delivery
Yes,No,3.8/5,155,Mysore Road,Casual Dining,400,Delivery
Yes,No,3.8/5,42,Banashankari,Quick Bites,300,Delivery
Yes,No,3.8/5,286,Basavanagudi,Casual Dining,600,Delivery
Yes,No,3.8/5,160,Banashankari,Casual Dining,700,Delivery
Yes,No,3.8/5,59,Banashankari,Casual Dining,750,Delivery
Yes,No,3.5/5,90,Jayanagar,Casual Dining,500,Delivery
Yes,No,3.7/5,51,Kumaraswamy Layout,Quick Bites,350,Delivery
Yes,No,4.0/5,89,Jayanagar,Quick Bites,200,Delivery
Yes,No,3.6/5,18,Banashankari,Quick Bites,250,Delivery
Yes,No,3.9/5,40,Basavanagudi,Casual Dining,600,Delivery
Yes,No,2.5/5,35,Basavanagudi,Quick Bites,200,Delivery
Yes,No,3.4/5,89,Jayanagar,Quick Bites,250,Delivery
Yes,No,3.2/5,11,Basavanagudi,Quick Bites,150,Delivery
Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe",600,Delivery
Yes,No,3.9/5,33,Jayanagar,Dessert Parlor,300,Delivery
Yes,No,3.8/5,32,Jayanagar,Sweet Shop,250,Delivery
Yes,No,4.1/5,139,Jayanagar,Casual Dining,550,Delivery
Yes,No,3.2/5,154,Vijay Nagar,Quick Bites,300,Delivery
Yes,No,3.6/5,14,Banashankari,Bakery,350,Delivery
Yes,No,3.7/5,237,Banashankari,Quick Bites,200,Delivery
Yes,No,3.9/5,388,Banashankari,Casual Dining,650,Delivery
Yes,No,NEW,0,Jayanagar,Quick Bites,300,Delivery
Yes,No,3.9/5,128,Kumaraswamy Layout,Casual Dining,500,Delivery
Yes,Yes,4.1/5,1875,Jayanagar,Casual Dining,1200,Delivery
Yes,No,3.8/5,90,Banashankari,Cafe,650,Delivery
Yes,No,3.1/5,7,Kumaraswamy Layout,Quick Bites,250,Delivery
Yes,No,3.7/5,38,Uttarahalli,Casual Dining,400,Delivery
Yes,No,4.2/5,179,Banashankari,Delivery,600,Delivery
Yes,No,4.0/5,43,Basavanagudi,Dessert Parlor,250,Delivery
Yes,No,4.3/5,275,Basavanagudi,Quick Bites,100,Delivery
Yes,No,3.7/5,323,Jayanagar,Casual Dining,850,Delivery
Yes,No,3.1/5,28,Uttarahalli,Casual Dining,400,Delivery
Yes,No,3.9/5,18,Basavanagudi,Quick Bites,200,Delivery
Yes,No,3.3/5,6,Basavanagudi,Quick Bites,100,Delivery
Yes,No,,0,Basavanagudi,Dessert Parlor,100,Delivery
Yes,No,4.3/5,322,Jayanagar,Casual Dining,400,Delivery
Yes,No,2.6/5,157,Jayanagar,Cafe,450,Delivery
Yes,No,3.9/5,543,Basavanagudi,Quick Bites,300,Delivery
Yes,No,3.7/5,180,Banashankari,Cafe,500,Delivery
Yes,No,4.2/5,444,Basavanagudi,Quick Bites,100,Delivery
Yes,No,3.9/5,134,Jayanagar,Quick Bites,400,Delivery
Yes,No,3.8/5,577,Jayanagar,Casual Dining,900,Delivery
Yes,No,4.2/5,60,Banashankari,Quick Bites,200,Delivery
Yes,No,3.9/5,144,Jayanagar,Casual Dining,550,Delivery
Yes,No,4.1/5,787,Banashankari,Casual Dining,800,Delivery
Yes,No,3.6/5,16,Basavanagudi,Quick Bites,200,Delivery
Yes,No,3.6/5,84,Banashankari,Quick Bites,250,Delivery
Yes,No,3.6/5,95,Banashankari,Quick Bites,150,Delivery
Yes,Yes,4.0/5,349,Banashankari,Casual Dining,1200,Delivery
Yes,No,3.7/5,248,Kumaraswamy Layout,Quick Bites,400,Delivery
Yes,No,4.1/5,216,Basavanagudi,Cafe,500,Delivery
Yes,No,,0,Kumaraswamy Layout,Casual Dining,400,Delivery
Yes,No,4.0/5,324,Banashankari,Cafe,700,Delivery
Yes,No,2.6/5,231,Kumaraswamy Layout,Quick Bites,400,Delivery
Yes,No,3.4/5,102,Uttarahalli,Casual Dining,400,Delivery
Yes,No,3.9/5,133,Banashankari,Cafe,800,Delivery
Yes,No,2.8/5,45,Banashankari,Casual Dining,800,Delivery
Yes,No,3.9/5,149,Kumaraswamy Layout,Quick Bites,300,Delivery
Yes,No,3.8/5,75,Banashankari,Quick Bites,200,Delivery
Yes,No,4.0/5,53,Rajarajeshwari Nagar,Delivery,600,Delivery
Yes,Yes,4.2/5,815,Jayanagar,Casual Dining,900,Delivery
Yes,Yes,4.0/5,633,Banashankari,Casual Dining,800,Delivery
Yes,No,3.5/5,56,Jayanagar,Dessert Parlor,400,Delivery
Yes,No,3.0/5,82,Banashankari,Quick Bites,300,Delivery
Yes,No,3.7/5,35,Jayanagar,Quick Bites,200,Delivery
Yes,No,3.6/5,20,Basavanagudi,Quick Bites,150,Delivery
Yes,No,3.1/5,14,Kumaraswamy Layout,Quick Bites,250,Delivery
Yes,No,3.9/5,70,Banashankari,Dessert Parlor,400,Delivery
Yes,No,3.9/5,91,Jayanagar,Cafe,300,Delivery
Yes,No,3.6/5,45,Jayanagar,Quick Bites,200,Delivery
Yes,No,3.4/5,7,Banashankari,Quick Bites,250,Delivery
Yes,No,3.8/5,28,Banashankari,Quick Bites,150,Delivery
Yes,No,3.6/5,24,Banashankari,Casual Dining,600,Delivery
Yes,No,3.8/5,36,Basavanagudi,Dessert Parlor,200,Delivery
Yes,No,3.5/5,11,Jayanagar,Quick Bites,200,Delivery
Yes,No,3.8/5,77,Kumaraswamy Layout,Cafe,650,Delivery
Yes,No,3.2/5,8,Banashankari,Sweet Shop,100,Delivery
Yes,No,3.7/5,14,Jayanagar,Quick Bites,100,Delivery
Yes,No,3.8/5,210,Kumaraswamy Layout,Casual Dining,600,Delivery
Yes,No,4.1/5,130,Jayanagar,Cafe,650,Delivery
Yes,No,4.1/5,30,Jayanagar,Beverage Shop,100,Delivery
Yes,No,3.8/5,144,Banashankari,Cafe,700,Delivery
Yes,No,3.4/5,11,Basavanagudi,Bar,800,Delivery
Yes,No,3.7/5,133,Jayanagar,Casual Dining,700,Delivery
Yes,No,4.0/5,136,Jayanagar,Quick Bites,350,Delivery
Yes,No,3.1/5,4,Basavanagudi,Quick Bites,200,Delivery
Yes,No,3.5/5,11,Basavanagudi,"Sweet Shop, Quick Bites",200,Delivery
Yes,No,3.8/5,74,Basavanagudi,Quick Bites,300,Delivery
Yes,No,3.7/5,30,Basavanagudi,Quick Bites,300,Delivery
Yes,No,3.0/5,7,Basavanagudi,Quick Bites,200,Delivery
Yes,No,3.8/5,75,Banashankari,"Cafe, Quick Bites",200,Delivery
Yes,No,3.7/5,54,Basavanagudi,Cafe,600,Delivery
Yes,No,3.6/5,23,Basavanagudi,Kiosk,100,Delivery
Yes,No,3.2/5,119,Banashankari,Casual Dining,400,Delivery
Yes,No,3.7/5,73,Banashankari,Quick Bites,400,Delivery
Yes,No,3.4/5,58,Basavanagudi,Cafe,400,Delivery
Yes,No,3.6/5,129,Banashankari,Casual Dining,600,Delivery
Yes,No,3.6/5,24,Banashankari,Quick Bites,250,Delivery
Yes,No,3.0/5,175,Kumaraswamy Layout,Quick Bites,400,Delivery
Yes,No,3.7/5,21,Mysore Road,Quick Bites,300,Delivery
Yes,No,3.5/5,41,South Bangalore,Food Truck,400,Delivery
Yes,No,3.6/5,35,Jayanagar,Quick Bites,300,Delivery
Yes,No,4.1/5,176,Basavanagudi,Casual Dining,800,Delivery
Yes,No,3.5/5,45,Banashankari,Beverage Shop,300,Delivery
Yes,No,3.7/5,47,Jayanagar,"Quick Bites, Dessert Parlor",400,Delivery
Yes,Yes,3.7/5,36,Jayanagar,Casual Dining,650,Delivery
Yes,No,3.8/5,52,Kumaraswamy Layout,"Beverage Shop, Quick Bites",400,Delivery
Yes,No,2.7/5,123,Banashankari,Quick Bites,200,Delivery
Yes,No,3.6/5,59,Kumaraswamy Layout,Casual Dining,700,Delivery
Yes,No,3.2/5,4,Kumaraswamy Layout,Quick Bites,300,Delivery
Yes,No,3.8/5,101,Banashankari,Quick Bites,400,Delivery
Yes,No,3.7/5,54,Banashankari,"Beverage Shop, Dessert Parlor",400,Delivery
Yes,No,,0,Banashankari,Quick Bites,200,Delivery
Yes,No,3.6/5,22,Basavanagudi,Quick Bites,200,Delivery
Yes,No,3.1/5,31,Banashankari,Takeaway,250,Delivery
Yes,No,3.0/5,29,Kumaraswamy Layout,Cafe,500,Delivery
Yes,No,3.4/5,6,Jayanagar,Beverage Shop,100,Delivery
Yes,No,3.0/5,22,Basavanagudi,Quick Bites,250,Delivery
Yes,No,2.9/5,11,Banashankari,Quick Bites,500,Delivery
Yes,No,3.9/5,101,Basavanagudi,Quick Bites,150,Delivery
Yes,Yes,4.1/5,442,Jayanagar,"Pub, Casual Dining",1200,Delivery
Yes,No,3.5/5,155,Basavanagudi,Quick Bites,400,Delivery
Yes,No,3.4/5,12,Banashankari,"Beverage Shop, Quick Bites",150,Delivery
Yes,No,3.6/5,15,Basavanagudi,Quick Bites,100,Delivery
Yes,No,3.5/5,10,Basavanagudi,Quick Bites,200,Delivery
Yes,No,3.8/5,25,Banashankari,Quick Bites,300,Delivery
Yes,No,3.8/5,61,Banashankari,Quick Bites,300,Delivery
Yes,No,3.7/5,23,Uttarahalli,Quick Bites,300,Delivery
Yes,No,3.8/5,25,Basavanagudi,Quick Bites,350,Delivery
Yes,No,3.7/5,40,Kumaraswamy Layout,Quick Bites,200,Delivery
Yes,No,3.3/5,4,Basavanagudi,Quick Bites,100,Delivery
Yes,No,3.4/5,8,Basavanagudi,Quick Bites,150,Delivery
Yes,No,3.5/5,32,Kumaraswamy Layout,Quick Bites,300,Delivery
Yes,No,3.3/5,10,Basavanagudi,Quick Bites,200,Delivery
Yes,No,3.4/5,6,Basavanagudi,Quick Bites,300,Delivery
Yes,No,3.8/5,53,Jayanagar,Quick Bites,250,Delivery
Yes,No,3.7/5,67,Kumaraswamy Layout,Casual Dining,700,Delivery
Yes,No,2.9/5,23,Jayanagar,Sweet Shop,250,Delivery
Yes,No,3.4/5,19,Banashankari,Quick Bites,200,Delivery
Yes,No,3.6/5,24,Banashankari,Quick Bites,300,Delivery
Yes,No,4.0/5,232,Jayanagar,Quick Bites,400,Delivery
Yes,No,3.9/5,221,Jayanagar,Casual Dining,700,Delivery
Yes,Yes,4.1/5,1063,Jayanagar,"Casual Dining, Bar",1200,Delivery
Yes,No,3.7/5,93,Basavanagudi,Quick Bites,200,Delivery
Yes,No,3.9/5,233,Jayanagar,Casual Dining,800,Delivery
